city,date,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors
Birmingham,2016-02-28,26.9,26.9,1.5556349186104041,2,2
Birmingham,2016-03-01,18,18,0.4242640687119295,2,2
Birmingham,2016-03-02,11.3,11.3,0.42426406871192823,2,2
Birmingham,2016-03-03,4.855,4.855,0.9687362902255702,2,2
Birmingham,2016-03-04,5.415,5.415,0.8838834764831844,2,2
Birmingham,2016-03-05,6.105,6.105,1.2091525958289964,2,2
Birmingham,2016-03-06,10.65,10.65,2.333452377915607,2,2
Birmingham,2016-03-07,10.25,10.25,2.4748737341529163,2,2
Birmingham,2016-03-08,9.46,9.46,2.1778888860545664,2,2
Birmingham,2016-03-09,11.9,11.9,1.272792206135786,2,2
Birmingham,2016-03-10,7.75,7.75,0.5939696961966998,2,2
Birmingham,2016-03-11,6.875,6.875,1.3505739520663058,2,2
Birmingham,2016-03-12,29.65,29.65,0.07071067811865324,2,2
Birmingham,2016-03-13,46.7,46.7,2.1213203435596424,2,2
Birmingham,2016-03-14,50.6,50.6,10.4651803615609,2,2
Birmingham,2016-03-15,32.7,32.7,1.697056274847713,2,2
Birmingham,2016-03-16,20.8,20.8,2.8284271247461903,2,2
Birmingham,2016-03-17,16.05,16.05,0.636396103067893,2,2
Birmingham,2016-03-18,18.2,18.2,3.8183766184073558,2,2
Birmingham,2016-03-19,28.95,28.95,1.7677669529663689,2,2
Birmingham,2016-03-20,12.3,12.3,0.14142135623731025,2,2
Birmingham,2016-03-21,10.59,10.59,1.0040916292848974,2,2
Birmingham,2016-03-22,18.4,18.4,1.5556349186104041,2,2
Birmingham,2016-03-23,17.65,17.65,1.6263455967290599,2,2
Birmingham,2016-03-24,23.85,23.85,2.899137802864843,2,2
Birmingham,2016-03-25,21.950000000000003,21.950000000000003,3.040559159102155,2,2
Birmingham,2016-03-26,8.875,8.875,1.590990257669732,2,2
Birmingham,2016-03-27,7.335,7.335,0.9404520189781083,2,2
Birmingham,2016-03-28,4.25,4.25,1.7677669529663689,2,2
Birmingham,2016-03-29,4,4,1.4142135623730951,2,2
Birmingham,2016-03-30,27.659999999999997,27.659999999999997,29.89647470856723,2,2
Birmingham,2016-03-31,12.335,12.335,3.7688791437242983,2,2
Birmingham,2016-04-01,16.55,16.55,1.7677669529663689,2,2
Birmingham,2016-04-02,10.21,10.21,2.53144227664784,2,2
Birmingham,2016-04-03,17.5,17.5,5.23259018078045,2,2
Birmingham,2016-04-04,23.5,23.5,NA,1,1
Birmingham,2016-04-06,6.67,6.67,NA,1,1
Birmingham,2016-04-07,4.5,4.5,0.7071067811865476,2,2
Birmingham,2016-04-08,9.125,9.125,1.3788582233137672,2,2
Birmingham,2016-04-09,7.46,7.46,0.7636753236814714,2,2
Birmingham,2016-04-10,8.834999999999999,8.834999999999999,1.3505739520663052,2,2
Birmingham,2016-04-11,18.200000000000003,18.200000000000003,5.515432893255071,2,2
Birmingham,2016-04-12,26.15,26.15,1.6263455967290599,2,2
Birmingham,2016-04-13,14.100000000000001,14.100000000000001,1.6970562748477143,2,2
Birmingham,2016-04-14,18.5,18.5,0.9899494936611655,2,2
Birmingham,2016-04-15,18.35,18.35,0.49497474683058273,2,2
Birmingham,2016-04-16,9.48,9.48,0.6222539674441624,2,2
Birmingham,2016-04-17,7.02,7.02,0.7919595949289333,2,2
Birmingham,2016-04-18,6.5600000000000005,6.5600000000000005,0.028284271247461926,2,2
Birmingham,2016-04-19,7.13,7.13,0.4242640687119283,2,2
Birmingham,2016-04-20,10.135,10.135,1.3647160876900366,2,2
Birmingham,2016-04-21,12.15,12.15,1.7677669529663689,2,2
Birmingham,2016-04-22,11.7,11.7,1.9798989873223323,2,2
Birmingham,2016-04-23,8.4,8.4,1.8809040379562165,2,2
Birmingham,2016-04-24,6.88,6.88,1.4142135623730951,2,2
Birmingham,2016-04-25,7.105,7.105,0.91216774773064635,2,2
Birmingham,2016-04-26,5.1899999999999995,5.1899999999999995,1.0889444430272832,2,2
Birmingham,2016-04-27,7.8149999999999995,7.8149999999999995,0.6151828996322964,2,2
Birmingham,2016-04-28,9,9,1.4142135623730951,2,2
Birmingham,2016-04-29,5.155,5.155,0.5868986283848344,2,2
Birmingham,2016-04-30,4.875,4.875,1.2374368670764582,2,2
Birmingham,2016-05-01,8.085,8.085,1.294005409571382,2,2
Birmingham,2016-05-02,7.955,7.955,0.5303300858899106,2,2
Birmingham,2016-05-03,6.585,6.585,0.5868986283848344,2,2
Birmingham,2016-05-04,9.765,9.765,0.898025612106915,2,2
Birmingham,2016-05-05,12,12,0.7071067811865476,2,2
Birmingham,2016-05-06,18.05,18.05,2.1920310216782983,2,2
Birmingham,2016-05-07,31.8,31.8,1.6970562748477132,2,2
Birmingham,2016-05-08,27.9,27.9,1.9798989873223336,2,2
Birmingham,2016-05-09,17.8,17.8,0.9899494936611655,2,2
