city,month,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors
Birmingham,2016-02-01,26.9,26.9,1.5556349186104041,2,2
Birmingham,2016-03-01,16.625967741935483,12.25,12.387712772608479,62,2
Birmingham,2016-04-01,10.827142857142857,8.73,5.6852548401459195,56,2
Birmingham,2016-05-01,14.210806451612903,10.55,7.677429833425429,62,2
Birmingham,2016-06-01,11.9435,9.81,5.238621187789067,60,2
Birmingham,2016-07-01,8.344905660377359,8,2.0222660772219685,53,2
Birmingham,2016-08-01,8.44983606557377,7.92,3.389453983462665,61,2
Birmingham,2016-09-01,9.594,6.725,7.818505904344586,60,2
Birmingham,2016-10-01,8.725666666666667,8.02,3.6063688328001184,60,2
Birmingham,2016-11-01,9.0705,8.48,3.788170487323088,40,2
Birmingham,2016-12-01,18.656333333333333,16.450000000000003,10.510344858259792,60,2
Birmingham,2017-01-01,16.137272727272727,12.5,11.255951257914132,55,2
Birmingham,2017-02-01,14.444285714285714,12.25,10.006006523609837,42,2
Birmingham,2017-03-01,10.443617021276596,8.38,6.650853958092742,47,2
Birmingham,2017-04-01,11.179142857142857,8.63,6.503321491374085,35,2
Birmingham,2017-05-01,11.714354838709678,11.1,4.157374495002527,62,2
Birmingham,2017-06-01,9.59361111111111,8.75,4.263100918866974,36,2
Birmingham,2017-07-01,9.851,9.085,2.08322093731899,20,1
Birmingham,2017-08-01,10.48047619047619,10.9,2.661393387288839,21,1
Birmingham,2017-09-01,10.785833333333333,8.07,8.093453563202186,24,1
Birmingham,2017-10-01,9.511333333333333,7.43,4.177288952000537,30,1
Birmingham,2017-11-01,13.442068965517242,10.7,7.547376734104535,29,1
Birmingham,2017-12-01,9.378,8.615,3.291137943860336,30,1
Birmingham,2018-01-01,12.383333333333333,9.34,7.132799582566265,30,1
Birmingham,2018-02-01,12.43608695652174,10.1,6.3856662919459595,23,1
Birmingham,2018-03-01,15.706666666666667,13.399999999999999,9.914502903125905,30,1
Birmingham,2018-04-01,15.495666666666667,11.85,7.916140074440378,30,1
Birmingham,2018-05-01,18.958709677419357,20.6,8.408084499232663,31,1
Birmingham,2018-06-01,12.135,11.7,4.15489470384028,30,1
Birmingham,2018-07-01,12.236428571428572,12.75,2.981492559708624,28,1
Birmingham,2018-08-01,8.392758620689655,8.35,2.395869804105933,29,1
Birmingham,2018-09-01,5.306190476190476,4.82,2.518613658722743,21,1
Birmingham,2018-10-01,6.113076923076923,5.1899999999999995,4.444357113671915,26,1
