city,sensors_id,sensor_name,locations_id,location_name,min_date,max_date,n_days,n_nonmissing,missing_pct,mean_pm25,median_pm25,p95_pm25
Birmingham,4825,pm25 µg/m³,2494,Coventry Allesley,2016-02-28,2025-12-16,3154,3154,0,8.650649968294257,6.79,21.369999999999983
Birmingham,7814,pm25 µg/m³,3525,Birmingham A4540 Roadside,2016-11-10,2025-12-16,2907,2907,0,9.090983832129348,7.05,21.8
Birmingham,4892,pm25 µg/m³,2513,Birmingham Acocks Green,2016-02-28,2021-10-01,1868,1868,0,9.561279443254817,7.575,22.564999999999987
Birmingham,7337003,pm25 µg/m³,1784484,Kinver,2023-11-02,2025-12-16,743,743,0,12.504188425302827,8.35,36.989999999999995
Birmingham,7897357,pm25 µg/m³,2453310,University of Birmingham 4,2024-02-21,2025-12-16,434,434,0,12.893829493087559,8.45,36.584999999999965
Birmingham,7897359,pm25 µg/m³,2453320,University of Birmingham 1,2024-02-21,2025-12-16,434,434,0,9.812481566820276,5.66,31.739999999999988
Birmingham,7897363,pm25 µg/m³,2453314,University of Birmingham 3,2024-02-21,2025-12-16,434,434,0,13.42876267281106,9.614999999999998,35.90499999999999
Birmingham,7897367,pm25 µg/m³,2453317,University of Birmingham 2,2024-02-21,2025-12-16,422,422,0,11.219042654028437,7.015000000000001,33.35999999999999
Birmingham,4895,pm25 µg/m³,337,Birmingham Tyburn,2016-02-28,2017-06-06,403,403,0,11.687816377171217,8.71,27.569999999999997
Birmingham,12626401,pm25 µg/m³,3529,Cannock A5190 Roadside,2025-03-30,2025-12-16,237,237,0,5.978438818565401,4.86,13.039999999999997
Birmingham,13117097,pm25 µg/m³,406,Oldbury Birmingham Road,2025-05-22,2025-12-16,186,186,0,6.1574193548387095,5.0649999999999995,12.149999999999999
Birmingham,4900,pm25 µg/m³,2514,Birmingham Tyburn Roadside,2016-02-28,2016-09-07,184,184,0,12.983804347826087,10.4,28.424999999999997
Birmingham,14153070,pm25 µg/m³,4946351,2020,2025-09-19,2025-12-16,88,88,0,3.7402187954545454,1.0150000000000001,16.449999999999974
Birmingham,14153328,pm25 µg/m³,5261048,2020,2025-09-19,2025-12-16,88,88,0,7.120929545454546,3.46,23.989999999999977
Birmingham,14153313,pm25 µg/m³,5246083,"University of Birmingham, UK",2025-09-19,2025-12-16,81,81,0,9.653012345679011,6.55,25.4
Birmingham,14153213,pm25 µg/m³,5225907,"University of Birmingham, UK",2025-09-19,2025-12-15,63,63,0,48.46456533333334,6.58,185.29999999999995
Birmingham,14313795,pm25 µg/m³,6051929,"University of Birmingham, UK",2025-10-07,2025-12-15,57,57,0,67.4521754385965,9.25,378.7999999999985
Birmingham,14157104,pm25 µg/m³,5224958,"University of Birmingham, UK",2025-09-19,2025-12-14,50,21,58.00000000000001,10.793971428571428,3.93,44.8
Birmingham,14269378,pm25 µg/m³,5246084,"University of Birmingham, UK",2025-10-02,2025-12-16,36,36,0,9.1425,5.365,24.675000000000004
Birmingham,14383281,pm25 µg/m³,5224957,"University of Birmingham, UK",2025-10-15,2025-11-29,8,6,25,1.2736533333333333,0.9765,2.56
London,254,pm25 µg/m³,157,Bexley - Slade Green,2016-01-31,2025-12-16,3291,3291,0,10.048015800668486,7.72,26
London,249,pm25 µg/m³,155,London N. Kensington,2016-02-07,2025-12-16,3223,3223,0,8.809343779087802,6.49,22.2
London,232,pm25 µg/m³,148,London Bloomsbury,2016-01-31,2025-12-16,3143,3143,0,10.319058224626165,8.17,25.489999999999963
London,261,pm25 µg/m³,141,London Harlington,2016-01-31,2025-12-16,3093,3093,0,8.64733494988683,6.37,22.339999999999964
London,246,pm25 µg/m³,154,London Marylebone Road,2016-02-03,2025-12-16,2976,2974,0.06720430107527431,12.46424983187626,10.7,27
London,235,pm25 µg/m³,152,Camden Kerbside,2016-01-31,2025-12-16,2940,2940,0,11.65039115646257,9.57,26.7
London,257,pm25 µg/m³,158,London Teddington Bushy Park,2016-01-31,2025-12-16,2731,2731,0,9.121133284511169,6.88,23.4
London,28890,pm25 µg/m³,159,London Westminster,2018-04-16,2025-12-16,2435,2435,0,9.888898562628341,8,23.829999999999973
London,228,pm25 µg/m³,147,Greenwich - Eltham,2016-02-02,2023-07-04,2183,2183,0,9.925327530920745,7.6,25.3
London,1304692,pm25 µg/m³,146,Southwark A2 Old Kent Road,2021-04-30,2025-03-31,1281,1281,0,9.641639344262295,7.17,24.2
London,1927060,pm25 µg/m³,153,London Hillingdon,2022-05-12,2025-12-16,1047,1047,0,7.238691499522445,5.91,15.4
London,1295903,pm25 µg/m³,223687,Black Horse Court,2019-03-01,2020-12-01,548,548,0,12.996897810218977,9.625,29.714999999999975
London,1295908,pm25 µg/m³,223689,Holloway Bus Garage,2018-10-10,2020-05-31,537,537,0,13.062364990689014,9.62,33.019999999999996
London,211,pm25 µg/m³,137,Harrow - Stanmore,2016-01-31,2017-04-28,369,369,0,12.133875338753388,9.17,28.43999999999997
London,12626392,pm25 µg/m³,150,London Haringey Priory Park South,2025-03-30,2025-12-16,239,239,0,6.063096234309623,5,12.41
London,12915957,pm25 µg/m³,151,Tower Hamlets - Mile End Road,2025-04-29,2025-12-16,225,224,0.4444444444444473,6.555357142857143,5.545,13.509999999999996
London,446268,pm25 µg/m³,61486,Google Street View Car,2018-08-30,2019-11-01,199,199,0,10.307738693467337,7.53,29.83999999999999
London,446275,pm25 µg/m³,61487,Google Street View Car,2018-08-20,2019-10-29,195,195,0,10.108041025641025,7.63,26.66999999999993
London,1295912,pm25 µg/m³,223690,Parkside,2019-03-07,2020-09-17,150,150,0,20.362066666666667,14.8,52.17499999999999
London,206,pm25 µg/m³,60,Haringey Roadside,2016-01-31,2016-02-10,11,11,0,9.442727272727273,9.46,11.100000000000001
Manchester,4850,pm25 µg/m³,718,Salford Eccles,2016-02-28,2025-12-16,3134,3134,0,9.4346266751755,7.39,21.934999999999988
Manchester,5269,pm25 µg/m³,2312,Manchester Piccadilly,2016-02-28,2025-12-16,3110,3110,0,9.10449196141479,7.38,20.7
Manchester,1999696,pm25 µg/m³,2431,Glazebury,2022-06-10,2025-12-16,1024,1024,0,6.363095703125,5.17,14.2
Manchester,11657641,pm25 µg/m³,3316776,Fairholme Road,2024-12-16,2025-12-16,337,337,0,8.474175934718101,3.66,34.69999999999999
Manchester,10367545,pm25 µg/m³,2286,Manchester Sharston,2024-08-24,2025-12-16,302,302,0,6.524072847682119,5.545,13.884999999999996
Manchester,12177952,pm25 µg/m³,3400994,Romiley,2025-02-12,2025-12-16,277,277,0,7.400610830324909,3,30.86
Manchester,7296919,pm25 µg/m³,1760702,Chorlton,2023-10-28,2025-12-16,267,267,0,8.4297265917603,5.24,24.419999999999995
Manchester,9502772,pm25 µg/m³,2884480,University of Manchester,2024-06-07,2025-04-11,262,262,0,14.288030534351146,9.585,40.394999999999996
Manchester,9502776,pm25 µg/m³,2884565,University of Manchester,2024-06-07,2025-04-11,262,262,0,13.699561068702291,9.09,39.98
Manchester,14152335,pm25 µg/m³,3401002,Golborne Dale Cottage,2025-09-19,2025-12-16,88,88,0,6.326736022727273,2.1,26.394999999999996
Manchester,14183636,pm25 µg/m³,5874723,College road,2025-09-22,2025-12-16,82,82,0,5.389549536585365,2.59,20.04500000000001
Manchester,7267676,pm25 µg/m³,1745856,Adam Gray 01,2023-10-23,2024-08-17,57,57,0,18.100526315789473,14.6,37.6
Manchester,7267678,pm25 µg/m³,1745855,"Oldham Street, Manchester",2023-10-23,2023-11-27,34,34,0,14.866176470588236,12.25,32.71999999999994
Manchester,6977044,pm25 µg/m³,1585676,"Oldham Street, Manchester",2023-09-17,2023-10-19,32,32,0,15.91375,13.899999999999999,31.6
Manchester,14745619,pm25 µg/m³,6145550,Manchester Mayfield,2025-11-29,2025-12-16,18,18,0,1.8643611111111111,1.27,6.7254999999999985
Manchester,6977036,pm25 µg/m³,1585684,"Oldham Street, Manchester",2023-09-17,2023-09-29,13,13,0,7.840769230769231,7.17,15.379999999999999
Manchester,14244676,pm25 µg/m³,5956427,West Didsbury,2025-09-29,2025-10-03,5,5,0,0.2971,0.356,0.5092
Manchester,6971135,pm25 µg/m³,1582067,"Oldham Street, Manchester",2023-09-16,2023-09-17,2,2,0,14.4,14.4,21.96
Sheffield,5135,pm25 µg/m³,865,Chesterfield Roadside,2016-02-28,2025-12-16,3176,3176,0,8.262008186397985,6.295,20.125
Sheffield,5150,pm25 µg/m³,2551,Chesterfield Loundsley Green,2016-02-28,2025-12-16,3142,3140,0.06365372374284028,7.638357929936304,5.88,18.704999999999973
Sheffield,29695,pm25 µg/m³,3527,Sheffield Barnsley Road,2017-11-30,2025-12-16,2625,2625,0,11.04146666666668,8.92,25
Sheffield,1927061,pm25 µg/m³,2454,Sheffield Tinsley,2022-05-12,2025-12-16,1055,1055,0,7.069127962085308,5.87,15.3
Sheffield,4663062,pm25 µg/m³,2323,Barnsley Gawber,2023-04-13,2025-12-16,773,773,0,6.734631306597672,5.3,15.179999999999996
Sheffield,5079295,pm25 µg/m³,2508,Sheffield Devonshire Green,2022-10-04,2025-12-16,750,750,0,6.95468,5.49,15.654999999999994
Sheffield,9747495,pm25 µg/m³,2337,Ladybower,2024-06-27,2025-12-16,340,340,0,5.272705882352941,4.09,11.435000000000008
